City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
44,Umm Kaddadah,SD,13.6017,26.6876,80.13,17,12,3.62,
45,Mahibadhoo,MV,3.7833,72.9667,82.0,71,91,3.56,
46,Carnarvon,AU,-24.8667,113.6333,73.4,78,40,19.57,
47,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,99,10.36,
48,Grand Gaube,MU,-20.0064,57.6608,77.0,87,80,8.79,
49,Hami,CN,42.8,93.45,45.59,44,93,11.56,
50,Cape Town,ZA,-33.9258,18.4232,70.0,73,0,4.61,
51,Rundu,NA,-17.9333,19.7667,68.72,80,49,3.56,
52,Mar Del Plata,AR,-38.0023,-57.5575,71.6,88,20,8.05,
53,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,20,6.91,
54,Hirara,JP,24.8,125.2833,66.2,77,40,5.75,
55,Umm Lajj,SA,25.0213,37.2685,72.54,36,1,15.88,
56,Tecpan,GT,14.7623,-90.9947,75.2,57,20,16.11,
57,Tokmak,UA,47.2514,35.7058,34.09,98,100,9.13,
58,Mahebourg,MU,-20.4081,57.7,75.2,94,20,6.91,
59,Tasiilaq,GL,65.6145,-37.6368,6.8,66,75,12.66,
60,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,0,5.75,
61,Sai Buri,TH,6.7013,101.6168,75.63,90,99,5.41,
62,Dafeng,CN,23.4517,108.5881,67.42,84,100,3.27,
63,Talnakh,RU,69.4865,88.3972,15.21,94,100,10.2,
64,Barrow,US,71.2906,-156.7887,-5.8,71,1,9.22,
65,Tual,ID,-5.6667,132.75,83.03,74,100,1.68,
66,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,82,0,10.36,
67,Stromness,GB,58.965,-3.296,42.8,81,90,26.46,
68,Kapaa,US,22.0752,-159.319,79.0,83,90,16.11,
69,Severo-Kurilsk,RU,50.6789,156.125,26.65,61,78,13.96,
70,Port Blair,IN,11.6667,92.75,80.6,79,10,3.98,
71,Jamestown,US,42.097,-79.2353,66.2,52,90,12.82,
72,Kaitangata,NZ,-46.2817,169.8464,62.01,92,55,8.01,
73,Haines Junction,CA,60.7522,-137.5108,28.4,34,93,8.05,
74,Bethel,US,41.3712,-73.414,53.01,86,100,1.99,
75,Rio Branco,BR,-9.9747,-67.81,78.8,89,75,6.91,
76,De Aar,ZA,-30.6497,24.0123,57.45,82,100,18.39,
77,Klaksvik,FO,62.2266,-6.589,41.0,87,20,4.61,
78,Straumen,NO,63.8709,11.2999,41.0,70,75,6.91,
79,Tecolutilla,MX,18.2833,-93.3167,95.0,43,1,5.75,
80,Chokurdakh,RU,70.6333,147.9167,-16.67,97,99,5.88,
81,Lebu,CL,-37.6167,-73.65,54.95,65,1,17.98,
82,Lompoc,US,34.6391,-120.4579,64.0,45,1,17.27,
83,Concordia,AR,-31.393,-58.0209,81.0,74,40,3.44,
84,Yulara,AU,-25.2406,130.9889,68.0,73,1,8.05,
85,Half Moon Bay,US,37.4636,-122.4286,68.0,82,1,14.97,
86,Dodge City,US,37.7528,-100.0171,39.99,93,90,11.5,
87,Rawson,AR,-43.3002,-65.1023,57.51,54,99,11.18,
88,Pevek,RU,69.7008,170.3133,-14.03,92,100,3.47,
89,Kulim,MY,5.365,100.5618,79.0,94,20,3.44,
90,Bilma,NE,18.6853,12.9164,74.3,9,1,17.34,
91,Gomel,BY,52.4345,30.9754,33.01,68,0,6.71,
92,Bubaque,GW,11.2833,-15.8333,77.77,68,46,17.27,
93,Busselton,AU,-33.65,115.3333,54.61,85,0,5.82,
94,Pangnirtung,CA,66.1451,-65.7125,-25.6,68,40,3.44,
95,Ribeira Grande,PT,38.5167,-28.7,53.6,71,20,8.05,
96,Verkhoyansk,RU,67.5447,133.385,-18.0,98,100,1.54,
97,Mitsamiouli,KM,-11.3847,43.2844,82.49,71,29,0.58,
98,Mwinilunga,ZM,-11.7358,24.4293,61.27,98,23,3.8,
99,Rocky Mountain House,CA,52.3668,-114.9188,42.8,49,100,13.8,
100,Visby,SE,57.6409,18.296,45.0,81,90,14.97,
101,Batemans Bay,AU,-35.7167,150.1833,66.0,82,32,3.0,
102,Orotukan,RU,62.2667,151.7,-6.0,92,100,5.7,
103,Vardo,NO,70.3705,31.1107,35.6,80,0,13.8,
104,Cozumel,MX,20.5083,-86.9458,82.4,74,40,8.05,
105,Ponta Do Sol,PT,32.6667,-17.1,57.99,63,100,1.99,
106,Sitka,US,57.0531,-135.33,37.4,87,90,13.8,
107,Maraa,BR,-1.8333,-65.3667,73.62,95,72,1.34,
108,Butaritari,KI,3.0707,172.7902,81.46,80,68,17.4,
109,Poli,TZ,-3.3333,36.8,73.4,73,75,0.47,
110,Iralaya,HN,15.0,-83.2333,84.2,74,20,11.5,
111,Coquimbo,CL,-29.9533,-71.3436,64.4,68,0,11.5,
112,Faanui,PF,-16.4833,-151.75,83.61,74,99,21.88,
113,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,5.75,
114,Olafsvik,IS,64.8945,-23.7142,31.59,60,95,12.93,
115,Cabo San Lucas,MX,22.8909,-109.9124,73.4,56,75,17.27,
116,Chuy,UY,-33.6971,-53.4616,66.92,81,10,7.74,
117,Ouegoa,NC,-20.35,164.4333,81.18,70,52,12.01,
118,General Roca,AR,-39.0333,-67.5833,69.8,35,0,6.91,
119,Cabedelo,BR,-6.9811,-34.8339,75.2,100,90,9.22,
120,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,88,0,3.44,
121,Upernavik,GL,72.7868,-56.1549,-21.82,93,92,4.38,
122,Sorong,ID,-0.8833,131.25,78.62,83,100,1.81,
123,Bandundu,CD,-3.3167,17.3667,69.62,96,100,2.51,
124,Ugoofaaru,MV,5.6667,73.0,82.63,70,80,0.76,
125,Ibotirama,BR,-12.1853,-43.2206,85.48,25,44,8.81,
126,Avera,US,33.194,-82.5271,73.4,68,90,7.25,
127,Margate,GB,51.3813,1.3862,48.0,76,100,1.99,
128,Znamenskoye,RU,57.1281,73.8282,28.87,92,100,9.75,
129,Atbasar,KZ,51.8,68.3333,6.22,99,98,0.25,
130,Chingirlau,KZ,51.095,54.0814,27.3,86,100,15.5,
131,Port-Gentil,GA,-0.7193,8.7815,78.8,94,40,4.61,
132,Hilo,US,19.7297,-155.09,84.2,51,40,19.57,
133,Xuddur,SO,4.1213,43.8894,74.19,35,0,10.83,
134,Spornoye,RU,50.8448,37.2913,30.2,74,0,15.66,
135,Lorengau,PG,-2.0226,147.2712,81.45,78,100,6.31,
136,Santa Ines,BR,-3.6667,-45.38,74.28,96,99,3.85,
137,Panorama,GR,40.5878,23.0315,39.99,69,20,2.3,
138,Ilulissat,GL,69.2167,-51.1,-4.0,77,75,14.97,
139,Chumikan,RU,54.7183,135.315,8.78,79,9,10.63,
140,Yellowknife,CA,62.456,-114.3525,10.0,52,1,10.36,
141,Coihaique,CL,-45.5752,-72.0662,57.2,51,0,3.44,
142,Inirida,CO,3.8653,-67.9239,77.2,83,64,0.72,
143,Mangrol,IN,21.1167,70.1167,78.17,48,0,10.25,
144,Hofn,IS,64.2539,-15.2082,36.66,72,100,9.17,
145,Lagoa,PT,39.05,-27.9833,56.44,63,21,2.15,
146,Anadyr,RU,64.75,177.4833,6.8,85,40,17.9,
147,Dongsheng,CN,39.8161,109.9776,41.47,43,88,8.97,
148,Tiarei,PF,-17.5333,-149.3333,87.01,66,75,11.5,
149,Noumea,NC,-22.2763,166.4572,84.2,54,0,9.22,
150,Salvador,SV,13.8333,-88.9167,87.8,58,20,8.05,
151,Georgetown,MY,5.4112,100.3354,79.0,94,20,3.44,
152,Saint-Augustin,CA,51.226,-58.6502,29.17,97,100,3.2,
153,Carnduff,CA,49.1667,-101.8009,39.0,52,6,11.99,
154,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,71,75,11.5,
155,Alenquer,BR,-1.9417,-54.7383,77.0,94,75,2.3,
156,Phuket,TH,8.0,98.25,84.99,100,40,2.3,
157,Hay River,CA,60.8156,-115.7999,-4.0,65,100,5.75,
158,Hasaki,JP,35.7333,140.8333,53.6,82,75,5.75,
159,Kruisfontein,ZA,-34.0033,24.7314,70.0,80,100,5.01,
160,Norman Wells,CA,65.282,-126.8329,10.4,56,75,9.22,
161,Saint-Francois,FR,46.4154,3.9054,44.01,87,0,2.3,
162,Apricena,IT,41.7839,15.4437,41.0,81,0,8.05,
163,Zhezkazgan,KZ,47.8043,67.7144,20.53,83,97,7.54,
164,Peruibe,BR,-24.32,-46.9983,76.32,90,91,2.53,
165,Aksakovo,BG,43.25,27.8167,32.0,86,0,6.91,
166,Kroya,ID,-7.6331,109.2461,76.95,89,100,1.81,
167,Paamiut,GL,61.994,-49.6678,12.81,85,100,5.86,
168,Kamenka,RU,51.3223,42.7678,34.0,93,100,14.9,
169,Innisfail,AU,-17.5333,146.0333,81.18,80,69,1.36,
170,Vanavara,RU,60.34,102.2797,16.56,94,100,6.02,
171,East London,ZA,-33.0153,27.9116,68.47,86,100,11.88,
172,Ulladulla,AU,-35.35,150.4667,73.0,64,40,13.8,
173,Kalachinsk,RU,55.0529,74.5751,23.83,95,97,10.74,
174,Padang,ID,-0.9492,100.3543,75.2,100,75,3.44,
175,Alofi,NU,-19.0595,-169.9187,86.0,74,92,9.22,
176,Marawi,PH,7.9986,124.2928,69.17,84,97,1.32,
177,Tiksi,RU,71.6872,128.8694,-24.99,97,66,4.32,
178,Maldonado,UY,-34.6667,-54.9167,72.0,68,0,11.5,
179,Sivas,TR,39.7916,37.0019,24.8,86,75,14.97,
180,Mokolo,CM,10.7398,13.8019,81.19,24,67,4.74,
181,Kosino,RU,58.4127,51.2782,31.42,96,100,6.78,
182,Caravelas,BR,-17.7125,-39.2481,75.79,81,0,6.11,
183,Midyat,TR,37.4247,41.3393,48.2,81,75,13.8,
184,Dikson,RU,73.5069,80.5464,-7.67,100,87,4.72,
185,Buala,SB,-8.145,159.5921,85.01,66,87,5.37,
186,Pisco,PE,-13.7,-76.2167,73.4,68,0,23.02,
187,Codrington,AU,-38.2667,141.9667,60.15,78,75,14.23,
188,Balkanabat,TM,39.5108,54.3671,69.22,49,98,3.24,
189,Thompson,CA,55.7435,-97.8558,14.0,44,20,6.91,
190,Belyy Yar,RU,53.6039,91.3903,30.2,51,0,15.66,
191,Calderitas,MX,18.55,-88.25,84.2,74,20,13.8,
192,Provideniya,RU,64.3833,-173.3,15.8,79,0,15.66,
193,Roma,US,43.2128,-75.4557,52.0,82,90,8.05,
194,Constitucion,CL,-35.3333,-72.4167,56.5,78,8,15.66,
195,Saint Augustine,US,29.8947,-81.3145,73.0,64,1,10.36,
196,Nikolayevka,RU,53.1257,47.2041,30.45,87,100,9.75,
197,Taitung,TW,22.7583,121.1444,66.2,82,75,3.44,
198,Podosinovets,RU,60.2776,47.0659,33.94,94,100,10.87,
199,Te Anau,NZ,-45.4167,167.7167,60.26,66,55,1.57,
200,Binzhou,CN,37.3667,118.0167,48.02,42,3,5.73,
201,Morrope,PE,-6.5417,-80.0111,75.2,69,0,19.57,
202,Ucluelet,CA,48.9329,-125.5528,48.99,87,75,16.11,
203,Areka,ET,7.0667,37.7,63.21,24,2,4.54,
204,Khatanga,RU,71.9667,102.5,-5.82,95,100,3.18,
205,Kyabe,TD,9.4515,18.9449,86.43,41,37,4.16,
206,Severodvinsk,RU,64.5635,39.8302,42.8,65,40,13.42,
207,Honiara,SB,-9.4333,159.95,84.67,69,46,3.74,
208,Namatanai,PG,-3.6667,152.4333,82.89,73,76,6.8,
209,Jining,CN,35.405,116.5814,52.02,83,86,6.24,
210,Edmundston,CA,47.3737,-68.3251,53.6,40,100,4.61,
211,Evensk,RU,61.95,159.2333,11.17,92,100,4.63,
212,Namibe,AO,-15.1961,12.1522,72.82,80,100,3.49,
213,Ust-Ilimsk,RU,58.0006,102.6619,22.15,95,100,4.23,
214,Santa Maria,BR,-29.6842,-53.8069,75.2,83,20,5.75,
215,Sonoita,MX,31.85,-112.8333,68.0,18,0,11.99,
216,Shimoda,JP,34.6667,138.95,55.0,77,100,6.46,
217,Kedougou,SN,12.5579,-12.1743,96.8,28,0,2.3,
218,Seoul,KR,37.5683,126.9778,46.4,93,20,1.14,
219,Pavlodar,KZ,52.3,76.95,21.2,86,0,6.71,
220,Jieshi,CN,22.8134,115.8257,64.99,77,0,1.01,
221,Fortuna,US,40.5982,-124.1573,54.0,71,90,13.8,
222,Mecca,SA,21.4267,39.8261,75.67,53,1,5.12,
223,Carutapera,BR,-1.195,-46.02,75.47,93,100,5.77,
224,Sandnessjoen,NO,66.0217,12.6316,39.2,75,40,13.8,
225,Saskylakh,RU,71.9167,114.0833,-6.43,93,100,7.87,
226,Mahdasht,IR,35.7299,50.8111,64.4,36,90,9.22,
227,Karpathos,GR,35.507,27.2132,50.0,57,63,20.71,
228,Sinjar,IQ,36.3209,41.8754,49.48,73,76,9.06,
229,Gainesville,US,29.6516,-82.3248,75.2,53,1,10.36,
230,Meulaboh,ID,4.1363,96.1285,74.79,86,100,3.18,
231,Abadan,IR,30.3392,48.3043,75.2,57,0,21.85,
232,Torbay,CA,47.6666,-52.7314,37.0,69,75,9.22,
233,Strezhevoy,RU,60.7333,77.5889,23.0,93,75,4.47,
234,Chapais,CA,49.7834,-74.8492,50.0,43,75,6.91,
235,Cape Canaveral,US,28.4058,-80.6048,75.2,60,1,11.5,
236,Bulaevo,KZ,54.9056,70.4439,19.18,95,99,11.79,
237,Providencia,MX,28.7167,-111.5833,72.0,46,14,15.99,
238,Melilla,ES,35.2937,-2.9383,51.8,71,0,2.3,
239,Solnechnyy,RU,50.7214,136.6319,24.87,61,1,3.67,
240,Laguna,US,38.421,-121.4238,70.0,16,1,6.91,
241,Denpasar,ID,-8.65,115.2167,78.8,94,40,2.3,
242,Narsaq,GL,60.9167,-46.05,19.4,53,75,10.36,
243,Beringovskiy,RU,63.05,179.3167,15.87,84,90,2.39,
244,Shihezi,CN,44.3,86.0333,35.13,87,5,3.31,
245,Nelson Bay,AU,-32.7167,152.15,71.01,73,0,13.8,
246,Jacareacanga,BR,-6.2222,-57.7528,74.46,97,100,2.66,
247,Bahar,IR,34.9072,48.4414,54.5,57,70,13.78,
248,Ulaanbaatar,MN,47.9077,106.8832,28.4,50,0,4.47,
249,Zhoucheng,CN,35.9122,116.3117,51.64,68,51,5.46,
250,Dicabisagan,PH,17.0818,122.4157,76.15,86,30,1.57,
251,Buraydah,SA,26.326,43.975,78.8,34,0,8.05,
252,Airai,TL,-8.9266,125.4092,64.22,86,44,0.87,
253,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,100,2.26,
254,Berlevag,NO,70.8578,29.0864,37.4,65,0,26.46,
255,Conway,US,35.0887,-92.4421,78.01,43,3,4.03,
256,Palauig,PH,15.435,119.9045,79.7,69,48,3.47,
257,Antofagasta,CL,-23.65,-70.4,66.2,72,20,13.8,
258,Teknaf,BD,20.8624,92.3058,73.81,70,2,3.38,
259,Provost,CA,52.3501,-110.2683,48.2,46,100,5.75,
260,Middlebury,US,44.0153,-73.1673,53.6,66,90,5.79,
261,Erzin,TR,36.9559,36.2,55.99,71,86,34.0,
262,Khandyga,RU,62.6667,135.6,-11.11,95,100,2.64,
263,Gorontalo,ID,0.5412,123.0595,76.39,93,100,2.86,
264,Brewster,US,41.3973,-73.6171,52.0,84,100,6.71,
265,Kavaratti,IN,10.5669,72.642,82.02,76,61,4.36,
266,Asau,RO,46.4333,26.4,34.0,80,90,8.05,
267,Axim,GH,4.8699,-2.2405,79.81,86,99,6.55,
268,Rio Grande,BR,-32.035,-52.0986,73.0,82,81,11.41,
269,Marrakesh,MA,31.6315,-8.0083,62.6,34,0,5.75,
270,Viedma,AR,-40.8135,-62.9967,61.72,56,100,13.71,
271,Batticaloa,LK,7.7102,81.6924,78.73,83,82,2.57,
272,Necochea,AR,-38.5473,-58.7368,72.0,71,34,1.01,
273,Madang,PG,-5.2246,145.7966,79.41,80,99,3.91,
274,Omboue,GA,-1.5746,9.2618,76.89,84,98,7.18,
275,Baglan,AF,36.1307,68.7083,66.61,28,100,5.26,
276,Northam,GB,51.0333,-4.2167,43.0,93,87,5.01,
277,Huangzhai,CN,38.0751,112.6595,37.4,60,0,2.24,
278,Ulaangom,MN,49.9811,92.0667,13.84,61,5,5.88,
279,Onguday,RU,50.75,86.15,23.34,86,100,0.81,
280,Kalabo,ZM,-14.97,22.6814,70.14,78,83,4.43,
281,Atchison,US,39.563,-95.1216,46.99,71,90,12.66,
282,Plouzane,FR,48.3833,-4.6167,44.6,93,50,3.44,
283,Morgan City,US,29.6994,-91.2068,69.8,68,90,9.22,
284,Ponta Delgada,PT,37.7333,-25.6667,55.4,76,20,10.36,
285,Freeport,US,40.6576,-73.5832,54.0,94,90,13.8,
286,Lakatoro,VU,-16.0999,167.4164,82.2,75,99,8.7,
287,Sepuka,TZ,-4.75,34.5333,63.07,86,81,7.27,
288,Victoria,HK,22.2855,114.1577,71.01,83,0,3.0,
289,Lethbridge,CA,49.7,-112.8186,48.99,37,75,26.46,
290,Westerland,DE,54.9079,8.3033,43.0,93,90,11.5,
291,Makakilo City,US,21.3469,-158.0858,80.6,88,90,12.66,
292,Richards Bay,ZA,-28.783,32.0377,69.8,67,100,3.87,
293,Husavik,IS,66.0449,-17.3389,35.6,48,40,12.66,
294,Jati,PK,24.3539,68.2671,76.33,53,16,9.06,
295,Riyadh,SA,24.6877,46.7219,87.8,11,0,9.22,
296,Santa Clara,CU,22.4,-79.9667,86.0,58,20,16.11,
297,Kupang,ID,-10.1667,123.5833,75.2,94,40,2.3,
298,Penzance,GB,50.1186,-5.5371,46.99,87,76,11.5,
299,Sur,OM,22.5667,59.5289,76.15,59,0,8.21,
300,Warrnambool,AU,-38.3833,142.4833,61.0,82,70,5.99,
301,Xinqing,CN,48.2333,129.5,29.1,79,88,0.78,
302,Kodiak,US,57.79,-152.4072,42.8,56,1,4.61,
303,Olinda,BR,-8.0089,-34.8553,77.0,78,75,12.66,
304,Souillac,MU,-20.5167,57.5167,75.2,94,20,6.91,
305,Kropotkin,RU,45.4375,40.5756,35.01,88,100,8.43,
306,Port Hardy,CA,50.6996,-127.4199,46.4,87,90,12.66,
307,Iqaluit,CA,63.7506,-68.5145,-16.01,69,75,4.61,
308,Dhidhdhoo,MV,6.8833,73.1,82.69,73,100,5.75,
309,Yamada,JP,39.4667,141.95,52.12,81,100,7.83,
310,Ambon,ID,-3.6954,128.1814,77.0,94,40,6.91,
311,Lubumbashi,CD,-11.6609,27.4794,60.75,98,70,3.22,
312,Bathsheba,BB,13.2167,-59.5167,78.8,61,40,16.11,
313,Moose Factory,CA,51.2585,-80.6094,24.8,86,90,10.36,
314,Batsfjord,NO,70.6345,29.7185,37.4,86,0,19.57,
315,Kysyl-Syr,RU,63.8986,122.7617,-19.68,100,97,2.13,
316,Bonavista,CA,48.6499,-53.1147,36.0,80,90,2.3,
317,Ahar,IR,38.4774,47.0699,46.58,58,1,13.82,
318,Faya,SA,18.3851,42.4509,62.6,55,0,2.86,
319,Camacha,PT,33.0833,-16.3333,62.6,82,40,14.97,
320,Lahat,ID,-3.8,103.5333,71.82,96,100,2.57,
321,Troitsko-Pechorsk,RU,62.7084,56.1964,28.67,91,53,6.11,
322,Liverpool,GB,53.4106,-2.9779,50.0,71,40,10.36,
323,Lamar,US,33.6668,-95.5836,78.8,31,1,14.97,
324,Atambua,ID,-9.1061,124.8925,75.85,85,39,2.15,
325,Buchanan,LR,5.8808,-10.0467,77.52,88,100,4.92,
326,Pijijiapan,MX,15.7011,-93.23,85.82,47,1,7.56,
327,Mersing,MY,2.4312,103.8405,75.2,94,100,4.5,
328,Cairns,AU,-16.9167,145.7667,79.0,89,90,8.05,
329,Yako,BF,12.9667,-2.2667,85.42,14,100,10.6,
330,Saurimo,AO,-9.6608,20.3916,65.95,97,95,2.8,
331,Cayce,US,33.9657,-81.074,73.4,60,75,4.5,
332,Manokwari,ID,-0.8667,134.0833,79.5,80,100,3.09,
333,Cardston,CA,49.2,-113.3019,41.0,42,99,19.57,
334,Champerico,GT,14.3,-91.9167,87.8,74,40,9.22,
335,Palmer,US,42.1584,-72.3287,60.8,41,90,3.44,
336,Yenagoa,NG,4.9247,6.2642,74.71,91,96,4.45,
337,Daru,PG,-9.0763,143.2092,80.89,83,100,2.26,
338,Kavieng,PG,-2.5744,150.7967,82.67,73,92,9.53,
339,Warmbad,NA,-28.45,18.7333,72.82,45,45,13.2,
340,Peniche,PT,39.3558,-9.3811,52.0,79,39,1.01,
341,Suileng,CN,47.25,127.0833,34.43,78,95,6.49,
342,Cubuk,TR,40.2386,33.0322,28.4,80,90,12.66,
343,Arawa,PG,-6.2132,155.5367,84.52,68,97,3.42,
344,Rincon,US,32.296,-81.2354,75.0,56,90,12.66,
345,Metro,ID,-5.1131,105.3067,73.35,95,100,2.95,
346,Tairua,NZ,-37.0167,175.85,69.01,63,6,5.99,
347,Kushva,RU,58.2906,59.7592,26.19,87,71,9.53,
348,Aksarka,RU,66.5606,67.7975,8.62,93,59,8.93,
349,The Pas,CA,53.8251,-101.2541,19.4,49,90,10.36,
350,Yumen,CN,40.2833,97.2,44.91,21,100,16.37,
351,Pontianak,ID,-0.0333,109.3333,75.2,94,75,0.81,
352,Rawlins,US,41.7911,-107.2387,42.01,33,40,17.27,
353,Mount Isa,AU,-20.7333,139.5,77.0,47,90,10.36,
354,Sharlyk,RU,52.9167,54.75,30.67,87,99,11.05,
355,Elizabeth City,US,36.2946,-76.2511,66.2,77,40,11.5,
356,Ostrovnoy,RU,68.0531,39.5131,35.96,91,100,23.04,
357,Luau,AO,-10.7073,22.2247,64.33,97,79,3.33,
358,Alice Springs,AU,-23.7,133.8833,64.4,94,5,6.62,
359,Oksfjord,NO,70.2396,22.3479,39.2,60,0,13.8,
360,Sola,VU,-13.8833,167.55,78.8,100,76,2.3,
361,Dudinka,RU,69.4058,86.1778,20.05,95,100,10.83,
362,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,20,11.5,
363,Sept-Iles,CA,50.2001,-66.3821,39.2,41,75,21.85,
364,Inuvik,CA,68.3499,-133.7218,14.0,52,100,3.44,
365,Terney,RU,45.0503,136.6092,37.83,80,99,5.39,
366,Geraldton,AU,-28.7667,114.6,55.4,82,0,4.61,
367,Jaciara,BR,-15.9653,-54.9683,75.09,75,99,3.2,
368,Cherskiy,RU,68.75,161.3,-0.02,91,100,4.47,
369,Bida,NG,9.0833,6.0167,82.8,59,88,4.38,
370,Hof,DE,50.3167,11.9167,37.99,75,5,4.0,
371,Mociu,RO,46.8,24.0333,28.4,74,0,3.44,
372,Uusikaupunki,FI,60.8004,21.4084,35.6,93,0,6.91,
373,Bugama,NG,4.7341,6.8635,76.48,85,100,4.0,
374,Mahina,PF,-17.5065,-149.489,87.01,66,75,11.5,
375,Hobyo,SO,5.3505,48.5268,77.74,63,2,11.88,
376,Vestmannaeyjar,IS,63.4427,-20.2734,36.12,54,100,6.38,
377,Ballina,AU,-28.8667,153.5667,75.2,60,0,4.61,
378,Orange Cove,US,36.6244,-119.3137,69.01,29,62,2.98,
379,Salta,AR,-24.7859,-65.4117,66.2,94,90,0.65,
380,Vila Velha,BR,-20.3297,-40.2925,80.6,78,0,4.61,
381,Saldanha,ZA,-33.0117,17.9442,73.4,56,3,4.61,
382,Sibolga,ID,1.7427,98.7792,75.49,88,100,4.03,
383,Floro,NO,61.5996,5.0328,42.8,81,75,19.57,
384,Okha,RU,53.5739,142.9478,9.84,74,16,12.03,
385,Ambilobe,MG,-13.2,49.05,75.58,92,92,1.19,
386,Poya,NC,-21.35,165.15,81.64,65,24,6.33,
387,Manadhoo,MV,5.7667,73.3833,82.98,70,100,4.0,
388,Belousovka,KZ,50.1339,82.5239,30.2,74,90,11.18,
389,Whyalla,AU,-33.0333,137.5833,59.0,77,40,6.91,
390,Touho,NC,-20.7833,165.2333,77.67,76,93,9.98,
391,Kaeo,NZ,-35.1,173.7833,72.0,72,0,1.99,
392,Khryashchevka,RU,53.8119,49.0916,17.6,93,97,2.24,
393,Kimberley,ZA,-28.7323,24.7623,60.8,94,11,8.05,
394,Nanortalik,GL,60.1432,-45.2371,18.63,54,24,32.99,
395,Lumby,CA,50.2498,-118.969,48.2,53,100,2.3,
396,Roald,NO,62.5833,6.1333,39.99,87,40,16.11,
397,Nyurba,RU,63.2842,118.3319,-16.35,100,100,3.0,
398,Broome,US,42.2506,-75.833,54.0,87,90,12.66,
399,Acapulco,MX,16.8634,-99.8901,82.4,65,20,6.91,
400,Mayo,US,38.8876,-76.5119,57.99,100,90,3.44,
