City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2870,Moerai,PF,81.82,scattered clouds,-22.4333,-151.3333,Le Manotel
2872,Aba,NG,76.24,overcast clouds,5.1066,7.3667,Rosies Hotel Limited
2879,Tiarei,PF,86.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
2881,Sao Miguel Do Araguaia,BR,76.96,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
2888,Emerald,AU,79.0,clear sky,-23.5333,148.1667,The Irish Village
2893,Kirakira,SB,84.29,broken clouds,-10.4544,161.9205,SanBiz Lodge
2897,Yaan,NG,78.8,overcast clouds,7.3833,8.5667,
2899,San Patricio,US,84.2,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
2905,Pandan,PH,80.24,overcast clouds,14.0453,124.1694,Bonifacio Lodge
2908,Umm Kaddadah,SD,80.13,few clouds,13.6017,26.6876,
2911,Eydhafushi,MV,82.54,broken clouds,5.1033,73.0708,Soneva Fushi
2913,Banting,MY,77.0,few clouds,2.8167,101.5,Hotel Intan Jugra
2919,Harper,LR,78.22,light rain,4.375,-7.7169,Screensaver
2921,Coxim,BR,78.76,broken clouds,-18.5067,-54.76,Hotel Avenida
2923,Sibolga,ID,75.49,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
2928,Sumenep,ID,78.53,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
2929,San Juan,AR,77.76,clear sky,-31.5375,-68.5364,Hotel Provincial
2932,Buala,SB,85.01,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
2941,Faanui,PF,83.61,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
2949,Bandarbeyla,SO,75.94,clear sky,9.4942,50.8122,JABIR HOTEL
2950,Tomatlan,MX,84.58,scattered clouds,19.9333,-105.25,Norma franco
2951,San Andres,CO,84.2,few clouds,12.5847,-81.7006,Hotel Arena Blanca
2956,Djougou,BJ,84.27,overcast clouds,9.7085,1.666,Hotel cathas
2957,Labuhan,ID,77.9,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
2962,Bowen,AU,80.6,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
2963,Gambela,ET,80.78,clear sky,8.25,34.5833,Solomon Debebe Hotel
2969,Cayenne,GF,81.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
2970,Itarema,BR,77.74,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
2974,Sola,VU,78.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
2979,Culebra,PR,80.6,broken clouds,18.303,-65.301,Palmetto Guesthouse
2982,Maningrida,AU,82.11,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
2984,Lazaro Cardenas,MX,79.57,clear sky,17.9583,-102.2,Hotel Quinta Antigua
2989,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
2997,Rockhampton,AU,78.8,clear sky,-23.3833,150.5,Mercure Rockhampton
3001,Lebanon,US,75.2,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
3012,Katherine,AU,77.0,moderate rain,-14.4667,132.2667,Pine Tree Motel
3014,Martapura,ID,77.0,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
3017,Waingapu,ID,79.2,few clouds,-9.6567,120.2641,Pondok Wisata Elim
3018,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
3020,Anloga,GH,81.9,overcast clouds,5.7947,0.8973,Pin Drop Hotel
3021,Tanete,ID,76.82,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
3023,Makakilo City,US,80.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
3024,Sabang,ID,82.4,overcast clouds,5.8933,95.3214,Hotel Citra
3039,Keti Bandar,PK,76.95,clear sky,24.1447,67.4497,Haji laloo memon house
3041,Thinadhoo,MV,81.1,overcast clouds,0.5333,72.9333,
3044,Cabedelo,BR,75.2,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
3046,Manado,ID,75.2,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
3048,Salinopolis,BR,77.11,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
3050,Kulhudhuffushi,MV,82.62,overcast clouds,6.6221,73.07,Haajy Guest House 1
3052,La Orilla,MX,79.48,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
3053,Champerico,GT,87.8,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
3054,Alofi,NU,86.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
3056,Mucurapo,TT,78.8,broken clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
3068,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
3071,Biak,ID,77.25,overcast clouds,-0.9131,122.8766,Penginapan Kim
3072,Nioro,GM,82.54,clear sky,13.35,-15.75,
3082,Barranca De Upia,CO,75.04,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
3092,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
3095,Maragogi,BR,79.07,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
3099,Dingle,PH,77.49,light rain,10.9995,122.6711,SEGAYA PROPERTY
3104,Nabire,ID,76.44,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
3106,Soc Trang,VN,80.6,few clouds,9.6033,105.98,Phu Qui Hotel
3109,Lorengau,PG,81.45,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
3111,Sorong,ID,78.62,overcast clouds,-0.8833,131.25,The Waigo Hotel
3116,Mumford,GH,80.82,overcast clouds,5.2618,-0.759,Spanish Villa
3117,The Valley,AI,80.6,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
3124,Linaon,PH,81.14,overcast clouds,9.9499,122.4483,Emoha Dive Resort
3126,Acapulco,MX,82.4,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
3130,Pyay,MM,78.94,broken clouds,18.8167,95.2167,Shwe Pyi Thar
3133,Edd,ER,86.05,clear sky,13.9297,41.6925,
3134,Mecca,SA,75.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
3142,Traipu,BR,77.41,scattered clouds,-9.9706,-37.0033,Fazenda Bela Vista
3143,Bontang,ID,77.14,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
3145,Indiaroba,BR,75.4,scattered clouds,-11.5192,-37.5117,Neide brito
3147,Dickson,US,75.2,clear sky,36.077,-87.3878,East Hills Bed & Breakfast Inn
3149,Cabatuan,PH,77.49,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
3150,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
3151,Akyab,MM,75.63,clear sky,20.15,92.9,Hotel Memory
3153,Poum,NC,80.24,scattered clouds,-20.2333,164.0167,Gîte kajeon
3157,Sokoto,NG,85.35,broken clouds,13.0609,5.239,Shukura Coral Hotel
3166,Totness,SR,76.44,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
3170,Kupang,ID,75.2,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
3172,Condado,CU,86.0,very heavy rain,21.8767,-79.8403,Casa Guachinango
3173,Micheweni,TZ,80.76,scattered clouds,-4.9667,39.8333,
3183,Boa Vista,BR,80.6,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
3186,Bima,ID,77.27,broken clouds,-8.4667,118.7167,Lambitu Hotel
3187,Kalmunai,LK,77.45,moderate rain,7.4167,81.8167,VS Villa
3190,Talaja,IN,80.31,clear sky,21.35,72.05,Velvettas Resorts
3191,Zabid,YE,77.63,clear sky,14.1951,43.3152,دار الضيافة
3197,Nhulunbuy,AU,80.6,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
3199,Kita,ML,87.64,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
3203,Ligayan,PH,81.14,overcast clouds,4.6533,119.4706,
3205,Carutapera,BR,75.47,light rain,-1.195,-46.02,Lidera
3206,Ambilobe,MG,75.58,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
3213,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
3214,Salalah,OM,78.8,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
3215,Vila Velha,BR,80.6,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
3217,Cartagena,CO,86.0,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
3219,Indramayu,ID,78.42,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
3220,Del Rio,US,87.8,clear sky,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
3226,Bintulu,MY,75.2,few clouds,3.1667,113.0333,900 Boutique INN
3232,Balabac,PH,82.04,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
3245,Itaituba,BR,75.2,light rain,-4.2761,-55.9836,Hotel Campos
3251,Kavaratti,IN,82.02,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
3259,Tautira,PF,87.01,broken clouds,-17.7333,-149.15,Pension Oaoa
